4314 0 4473
4313 4473 3543
4312 8016 4514
4311 12530 7501
4310 20031 5384
4309 25415 7854
4308 33269 7631
4307 40900 5753
4306 46653 4808
4305 51461 3347
4304 54808 6830
4303 61638 3237
4302 64875 229
4298 65104 7178
4297 72282 3504
4295 75786 10387
4293 86173 13177
4290 99350 5039
4289 104389 5078
4286 109467 5812
4284 115279 15847
4282 131126 7176
4281 138302 57130
4275 195432 7172
4274 202604 5358
4273 207962 5526
4271 213488 3072
4269 216560 15691
4267 232251 16354
4266 248605 7758
4265 256363 6946
4264 263309 9243
4263 272552 4837
4262 277389 2571
4256 279960 15257
4254 295217 11813
4252 307030 10350
4248 317380 5156
4247 322536 5609
4244 328145 15799
4242 343944 22813
4240 366757 7641
4239 374398 10106
4238 384504 5753
4237 390257 3377
4236 393634 2757
4235 396391 8073
4233 404464 16915
4232 421379 5737
4231 427116 4748
4230 431864 5470
4229 437334 3945
4228 441279 4317
4227 445596 4819
4226 450415 6037
4225 456452 3302
4224 459754 4323
4223 464077 5718
4215 469795 6585
4213 476380 3312
4211 479692 14992
4210 494684 17250
4207 511934 5298
4206 517232 5658
4203 522890 16876
4202 539766 8314
4201 548080 7557
4198 555637 3553
4196 559190 10684
4195 569874 5828
4194 575702 6175
4189 581877 15842
4187 597719 4254
4181 601973 9152
4175 611125 5351
4170 616476 15863
4168 632339 17578
4152 649917 3671
4151 653588 5277
4148 658865 7102
4145 665967 5913
4143 671880 15776
4141 687656 24703
4139 712359 7588
4138 719947 10054
4136 730001 3847
4134 733848 3426
4131 737274 5084
4130 742358 5076
4129 747434 7435
4128 754869 3628
4126 758497 4744
4125 763241 7693
4124 770934 3876
4123 774810 6226
4122 781036 5887
4115 786923 6871
4113 793794 16429
4108 810223 5270
4107 815493 5610
4104 821103 9217
4103 830320 15773
4100 846093 17207
4098 863300 7440
4097 870740 10147
4095 880887 3664
4090 884551 3193
4085 887744 8964
4080 896708 5222
4079 901930 5628
4076 907558 15774
4074 923332 17704
4069 941036 3643
4059 944679 11928
4058 956607 9201
4054 965808 5261
4053 971069 5593
4051 976662 23806
4049 1000468 7571
4046 1008039 3658
4044 1011697 3406
4042 1015103 15785
4029 1030888 6895
4026 1037783 6884
4024 1044667 16396
4022 1061063 9403
4019 1070466 5326
4018 1075792 5651
4013 1081443 17217
4012 1098660 8415
4011 1107075 7524
4010 1114599 10059
4009 1124658 5326
4008 1129984 3817
4002 1133801 11852
3997 1145653 5262
3996 1150915 5552
3994 1156467 5535
3991 1162002 15705
3989 1177707 16979
3988 1194686 8567
3987 1203253 7569
3985 1210822 5332
3984 1216154 3700
3979 1219854 5048
3977 1224902 14232
3976 1239134 13927
3974 1253061 11908
3972 1264969 15081
3969 1280050 3619
3968 1283669 2974
3967 1286643 3513
3965 1290156 3520
3964 1293676 5233
3963 1298909 5534
3960 1304443 15697
3958 1320140 24892
3957 1345032 8424
3956 1353456 7488
3955 1360944 10489
3954 1371433 5443
3953 1376876 3784
3951 1380660 3177
3948 1383837 4544
3947 1388381 5041
3946 1393422 8224
3945 1401646 4237
3944 1405883 6907
3943 1412790 5026
3942 1417816 6335
3941 1424151 3936
3940 1428087 6609
3939 1434696 5318
3937 1440014 11863
3933 1451877 6928
3930 1458805 5372
3929 1464177 5507
3926 1469684 7093
3923 1476777 6484
3922 1483261 7656
3921 1490917 8898
3920 1499815 5394
3919 1505209 10363
3918 1515572 55715
3914 1571287 28285
3911 1599572 1735
3910 1601307 318
